,hab,agglomerative_cluster
753,lawboot_lawyers,9
754,consultants,9
755,telebreeze_corporation,1
756,cackle,1
757,tibbo,1
758,тостер,9
759,mercurial,2
760,криптовалюта,1
761,quickme_saas,2
762,s_s,2
763,сектор_копирайт,2
764,латер_планадо,9
765,киберпанк,2
766,медиаплеер,2
767,код,1
768,ростелеком,1
769,singularis,1
770,custis,1
771,altweb,1
772,ооо_илада,9
773,plesk,5
774,callbackkiller,12
775,sipuni,1
776,netcracker,1
777,lenovo,5
778,gtk,1
779,regberry,9
780,sony_mobile,2
781,технотроникс,0
782,prolog,1
783,potok,9
784,scorocode,1
785,driverpack_solution,1
786,what3words,2
787,xslt,1
788,ассоциация_isdef,9
789,games,12
790,доктор,5
791,логический,2
792,onebox,9
793,мозг_биотехнология,1
794,center,9
795,digital_rights,9
796,payoneer,1
797,itoolabs,2
798,access,1
799,xslt_xml,1
800,mobile_business,2
801,invola,12
802,кодабра,1
803,ichar,9
804,рекрутинговый,9
805,xim_ximad,1
806,интеллект,2
807,virgil_security,2
808,adv_web,2
809,engineering_co,2
810,theonlypage,1
811,istodo,1
812,mclouds,5
813,flexbby,9
814,lokalise,1
815,mobile_dimension,1
816,агентство_agima,9
817,vps,2
818,бюро_копирайтинг,12
819,textbroker,12
820,сбербанк,1
821,zeptolab,1
822,скрипт_продажа,9
823,targetix,1
824,symantec,1
825,cleantalk_anti,2
826,коллхелпер_конструктор,9
827,spam,2
828,эмиграция,9
829,onemarkt,1
830,информзащита,5
831,itsm,9
832,bloxy,1
833,fvd_media,1
834,impro,1
835,studyqa,1
836,краудсорсинг_wiki,1
837,deskun,9
838,версия_mercurial,1
839,token2_com,1
840,студия_трейлер,2
841,javarush,1
842,playrix,1
843,парк,2
844,tottоli_gsm,1
845,гау_ита,2
846,simtech_development,1
847,defconru,0
848,ассоциация_ambar,2
849,фрилансим,9
850,wix_com,1
851,philtech_акселератор,9
852,yougile,9
853,rootwelt,1
854,arduino,2
855,мтт,1
856,евростудио,12
857,likeastore,1
858,школа,2
859,vcstart_com,1
860,unigine,1
861,тензор,2
862,lifestreet_media,1
863,ispsystem,2
864,autodesk_cad,2
865,cam,2
866,email_competitors,12
867,lisp_emacs,0
868,generate_club,1
869,киберспорт,2
870,celecom,1
871,yota_devices,1
872,k_meleon,2
873,listpr,12
874,wapstart,1
875,brandmaker_russia,1
876,атол,1
877,будущее,2
878,master_up,1
879,carprice,1
880,julia,1
881,русский_команда,2
882,интемс,1
883,mars_information,9
884,business_infinity,5
885,универсариум,0
886,netangels,1
887,дневник_ру,0
888,evil_martians,1
889,modx,1
890,labview,0
891,safedata,5
892,поборчего,2
893,тренинг_роман,2
894,кнопка,5
895,интеллект_биотехнология,2
896,pravo,2
897,changellenge,9
898,learzing,1
899,slidary,1
900,alloy_software,5
901,maxifier_development,1
902,cake,12
903,take_the,12
904,айдеко,0
905,webasyst,1
906,гк_современный,9
907,aflexdistribution,5
908,бурук,1
909,защита,2
910,truevds,1
911,macroscop,1
912,центр,2
913,etegro,2
914,crossover,9
915,ptysh,1
916,ита,1
917,ostrovok,1
918,hot_dot,2
919,production,2
920,align_technology,1
921,кельник,0
922,цифровой_оружие,2
923,creative_commons,9
924,энергослон,9
925,nutanix,5
926,solutions,2
927,тринити,1
928,схемотехника,2
929,дойч_банк,2
930,credit_card,1
931,post_hawk,1
932,schneider_electric,5
933,toptechphoto,1
934,ruvpn,0
935,изучение_язык,1
936,метнуться_кабанчик,1
937,talktochef,9
938,llc_tik,2
939,funcorp,1
940,технологический_центр,2
941,netcat,1
942,modx_livestreet,0
943,corp,2
944,инфотекс,0
945,krita_foundation,1
946,spice,2
947,recruitment,2
948,advanserv,1
949,online,2
950,персонализация,1
951,ibm_bluemix,0
952,anetika,0
953,релэкс,1
954,расчетный_центр,2
955,tok_coach,2
956,практик,2
957,vps_house,5
958,lpcloud,1
959,otr_to,1
960,контел,5
961,производство,2
962,электроника,2
963,айти,1
964,odin_ingram,2
965,apps,2
966,madrobots,0
967,workly,1
968,процесс,2
969,geek_to,2
970,рубеж_учебный,2
971,the_future,2
972,dm_labs,1
973,systems,2
974,itrabota_образование,2
975,micro,2
976,paymentwall_inc,0
977,втб,1
978,speakasap,1
979,mr_gefest,1
980,prostoy_business,1
981,backendless,1
982,ubank,1
983,apptractor,1
984,интервью,1
985,cloudsnn,1
986,mycroft_business,2
987,audiocodes,1
988,zerotech,1
989,avo,1
990,mdk,1
991,генератор,2
992,roi4cio,1
993,media,2
994,открытие,1
995,вуз,2
996,chateam,1
997,seiko,2
998,electronics,2
999,tp,5
1000,mytaskhelper,0
1001,comet,2
1002,сканкод,1
1003,teamdesk,1
1004,star,2
1005,readyscript,1
1006,моддинг,1
1007,medgadgets,1
1008,levelpride,9
1009,kinderfox,0
1010,м,2
1011,epson,2
1012,инновационный,1
1013,infostart,1
1014,fabernovel,0
1015,aacidov,1
1016,lg,2
1017,link,5
1018,травелат,9
1019,rozetked,1
1020,ffcms,1
1021,сканпорт,1
1022,surprise,2
1023,viber,1
1024,расписание,2
1025,химия,2
1026,system,2
1027,corel,2
1028,tradingview,0
1029,bitcalm,1
1030,скаут,2
1031,pokupo,9
1032,my,2
1033,llp,2
1034,exodus,2
1035,scrumguides,0
1036,404hub,1
1037,телеком,2
1038,usabilitylab,1
1039,nanofl,1
1040,поиск,2
1041,serverclub,0
1042,genue,2
1043,corporation,2
1044,москва,2
1045,staply,1
1046,unisender,1
1047,атс,2
1048,онлайн,2
1049,лид,9
1050,itmozg,0
1051,lead4crm,9
1052,studios,2
1053,pnn,0
1054,anvil,12
1055,дита,2
1056,trackduck,0
1057,infolust,2
1058,компьютер,2
1059,нпо,2
1060,ackuna,2
1061,pixli,1
1062,миджет,1
1063,студия,2
1064,гк,2
1065,security,2
1066,teradata,0
1067,redsys,1
1068,instudies,2
1069,yard,2
1070,сотовый,1
1071,atlex,5
1072,digistr,1
1073,nodasoft,0
1074,pomodoro,1
1075,тонк,0
1076,ulmart,2
1077,textocat,1
1078,юлмарт,2
1079,лаб,2
1080,фаматека,0
1081,сталкер,1
1082,dronk,2
1083,allmychanges,2
1084,etf,2
1085,twisted,0
1086,finex,2
1087,инфорион,1
1088,credit,2
1089,телфин,1
1090,финтек,2
1091,фаба,2
1092,megavisor,1
1093,миран,2
1094,дата,2
1095,virt2real,1
1096,flowwow,1
1097,cakephp,1
1098,городор,1
1099,wayray,1
1100,round,2
1101,юлла,9
1102,livestreet,1
1103,whisper,2
1104,larian,2
1105,advantshop,0
1106,llc,2
1107,sports,0
1108,хаус,2
1109,квест,2
1110,classroom,2
1111,nekki,2
1112,kodicms,1
1113,beetleplay,0
1114,topic,1
1115,sh,2
1116,eviterra,0
1117,vds,2
1118,grrow,2
1119,arts,2
1120,flprog,1
1121,grabduck,2
1122,mobilizetoday,1
1123,total,2
1124,idcee,1
1125,перфоманс,2
1126,lake,2
1127,кварта,1
1128,zeptobars,0
1129,trinity,2
1130,sourcetalk,0
1131,starxoft,0
1132,webfont,1
1133,aviasales,0
1134,z,2
1135,mastercard,0
1136,afi,2
1137,bright,2
1138,distribution,2
1139,openstat,0
1140,hostkey,1
1141,freeamp,0
1142,украина,2
1143,navicon,1
1144,box,2
1145,advapay,0
1146,линчер,0
1147,english,2
1148,menu,2
1149,puzzle,2
1150,comagic,1
1151,zyxel,5
1152,techmas,0
1153,бонджойн,0
1154,krible,1
1155,vexorci,1
1156,universe,1
1157,hays,2
1158,teachbase,9
1159,aori,0
1160,d2c,5
1161,netrack,1
1162,баласс,2
1163,pro,2
1164,ко,2
1165,монастырев,2
1166,dсoin,1
1167,diafan,1
1168,клуб,2
1169,wizartech,1
1170,мегалент,2
1171,tuthost,1
1172,cjdns,2
1173,payu,1
1174,computers,2
1175,depo,2
1176,cbca,0
1177,лекториум,0
1178,related,2
1179,style,1
1180,devtodev,1
1181,элар,2
1182,notissimus,0
1183,корпорация,2
1184,getintent,0
1185,dockstation,1
1186,raindrop,1
1187,free,2
1188,высокий,2
1189,edusty,1
1190,итис,2
1191,манго,2
1192,sale,2
1193,consulting,2
1194,sas,1
1195,арнион,1
1196,работа,2
1197,saas,2
1198,livetex,0
1199,convead,0
1200,асинхронный,2
1201,senetsy,1
1202,учетный,2
1203,звезда,0
1204,room,2
1205,foundation,2
1206,simplepay,0
1207,кфу,2
1208,meople,2
1209,mneniya,2
1210,ай,2
1211,game,2
1212,теко,2
1213,starni,2
1214,autodesk,1
1215,политех,0
1216,samtrest,0
1217,est,2
1218,государственный,1
1219,cdnvideo,1
1220,iplexgroup,0
1221,clovertel,1
1222,офлайн,2
1223,everslide,1
1224,coworking,2
1225,программист,2
1226,бп,2
1227,симулятор,2
1228,unolabo,0
1229,staffcounter,1
1230,мойсклад,1
1231,mobidev,0
1232,solar,2
1233,uxdepot,0
1234,hpc,2
1235,innovations,2
1236,hub,2
1237,fetchee,0
1238,продленка,0
1239,kwork,0
1240,фбк,1
1241,allcountjs,0
1242,3d,2
1243,cti,2
1244,русский,2
1245,навигационный,2
1246,playtestix,1
1247,netwrix,0
1248,fabbers,0
1249,m2m,2
1250,qb,2
1251,3m,1
1252,киберленинка,0
1253,western,5
1254,консорциум,2
1255,кодекс,2
1256,главстарт,1
1257,бринго,1
1258,iseo,0
1259,bm,2
1260,energy,2
1261,конструктор,2
1262,cloud,2
1263,dream,2
1264,industries,2
1265,technology,2
1266,staff,2
1267,unet,1
1268,eagleriver,1
1269,officerecovery,0
1270,амперок,1
1271,datarc,1
1272,kidsreview,0
1273,sebbia,0
1274,talentboard,9
1275,sketchbuilder,0
1276,napartner,1
1277,artec,2
1278,софтлаб,1
1279,квантовый,1
1280,coub,1
1281,castle,1
1282,вос,1
1283,deiteriy,0
1284,turnkey,1
1285,ecommerce,1
1286,youvend,0
1287,spottle,0
1288,pbx,2
1289,zeon,1
1290,rangg,0
1291,knoema,0
1292,code,2
1293,kerio,1
1294,rusonyx,0
1295,fastvps,1
1296,etna,1
1297,niceplay,1
1298,avi,0
1299,dom24x7,0
1300,esoft,1
1301,адаптивный,1
1302,sdn,0
1303,n,2
1304,системс,1
1305,datacore,1
1306,simpleweek,0
1307,startup,1
1308,етранспорт,0
1309,мамба,0
1310,kids,2
1311,coviolations,1
1312,express,0
1313,getwear,0
1314,sigrand,0
1315,maxilect,0
1316,docdoc,0
1317,design,1
1318,appgranula,0
1319,monitor,1
1320,док,1
1321,story,1
1322,вкарман,0
1323,webnames,0
1324,top,1
1325,сфера,1
1326,qubequ,0
1327,pyrus,0
1328,дримкас,0
1329,maximatelecom,1
1330,хакспейс,2
1331,мерчиум,0
1332,аэробие,0
1333,priceplan,0
1334,sup,2
1335,roem,0
1336,deploy4me,1
1337,альтегро,0
1338,записываться,1
1339,rutube,0
1340,cubrid,1
1341,unicloud,1
1342,business,1
1343,itbursa,0
1344,instreamatic,0
1345,darta,1
1346,voips,0
1347,navigine,0
1348,fintech,1
1349,mobile,2
1350,банкфильтр,0
1351,ml,2
1352,altegrocloud,0
1353,beget,0
1354,онлайм,0
1355,minirobot,2
1356,geeks,1
1357,навигатор,1
1358,robot,1
1359,маркет,1
1360,insight,1
1361,почтовый,2
1362,бланк,2
1363,рф,2
1364,ksenmart,1
1365,супернов,0
1366,ppbbxx,2
1367,виэмти,2
1368,mootools,1
1369,meduza,1
1370,dev,1
1371,ant,0
1372,test,2
1373,the,2
1374,text,2
1375,scriptogenerator,1
1376,ucweb,0
1377,группа,2
1378,iridium,2
1379,youdo,0
1380,skybase,0
1381,афиша,2
1382,рамблер,2
1383,рэмо,0
1384,mono,0
1385,penxy,0
1386,inline,1
1387,acumatica,0
1388,cobol,1
1389,flapmyport,0
1390,visual,2
1391,prflr,0
1392,авиагик,0
1393,rizzoma,1
1394,праймтолк,0
1395,наука,2
1396,tmaxsoft,1
1397,shopozz,1
1398,простой,2
1399,wave,2
1400,globaldots,0
1401,small,2
1402,basic,2
1403,ecwid,0
1404,itrabota,1
1405,brain,1
1406,art,2
1407,2can,0
1408,chooos,1
1409,коворкинг,2
1410,samurai24,0
1411,рабочий,2
1412,orienteer,0
1413,percolator,1
1414,lab4u,0
1415,сми2,0
1416,dokkur,0
1417,облакотека,0
1418,timera,1
1419,seopult,0
1420,riddut,1
1421,iqplanner,1
1422,hideninja,0
1423,macte,0
1424,payanyway,0
1425,page,2
1426,кубака,0
1427,generations,0
1428,recfaces,0
1429,textolite,0
1430,october,2
1431,landing,2
1432,создание,2
1433,биржа,2
1434,contenta,1
1435,e,1
1436,beetle,1
1437,viewaide,0
1438,oriense,0
1439,little,1
1440,besmart,0
1441,станция,2
1442,achiever,0
1443,oversun,1
1444,mobi,1
1445,semrush,0
1446,сместанаместо,0
1447,цифралаб,1
1448,isystems,0
1449,tuffle,0
1450,ministry,1
1451,krob,1
1452,гдепаркинг,0
1453,zoom,1
1454,shopconf,1
1455,hackstore,0
1456,исследование,2
1457,перспективный,2
1458,кубкамп,0
1459,willdev,0
